iter	Passed	Remaining
0	145	43446
1	152	22705
2	159	15825
3	167	12415
4	174	10310
5	181	8914
6	189	7952
7	197	7213
8	205	6651
9	214	6207
10	221	5815
11	228	5489
12	236	5211
13	243	4972
14	251	4786
15	259	4609
16	267	4454
17	275	4310
18	284	4200
19	292	4097
20	300	3990
21	308	3893
22	316	3816
23	324	3733
24	333	3663
25	340	3584
26	348	3522
27	356	3465
28	364	3409
29	373	3358
30	381	3312
31	389	3261
32	397	3215
33	405	3175
34	414	3135
35	422	3096
36	430	3057
37	437	3018
38	446	2986
39	455	2960
40	463	2928
41	471	2899
42	480	2872
43	489	2847
44	496	2814
45	504	2785
46	513	2761
47	522	2744
48	532	2726
49	546	2731
50	554	2706
51	561	2678
52	569	2654
53	578	2633
54	586	2613
55	595	2595
56	604	2577
57	613	2560
58	623	2546
59	632	2531
60	641	2515
61	655	2516
62	674	2538
63	689	2541
64	703	2543
65	718	2548
66	730	2540
67	740	2526
68	750	2511
69	759	2496
70	768	2480
71	779	2467
72	788	2451
73	797	2434
74	805	2417
75	814	2402
76	823	2384
77	831	2367
78	840	2350
79	848	2333
80	857	2318
81	865	2301
82	874	2285
83	882	2269
84	891	2255
85	900	2240
86	908	2224
87	917	2210
88	926	2195
89	934	2180
90	942	2165
91	951	2151
92	960	2136
93	968	2121
94	976	2107
95	985	2094
96	995	2083
97	1005	2071
98	1014	2059
99	1023	2046
100	1031	2032
101	1041	2021
102	1049	2008
103	1058	1994
104	1067	1982
105	1076	1970
106	1086	1958
107	1095	1947
108	1106	1939
109	1116	1928
110	1126	1917
111	1136	1907
112	1145	1895
113	1154	1883
114	1163	1871
115	1173	1860
116	1182	1849
117	1191	1838
118	1202	1828
119	1212	1818
120	1221	1807
121	1232	1797
122	1241	1786
123	1251	1776
124	1261	1766
125	1271	1755
126	1281	1745
127	1291	1734
128	1301	1725
129	1311	1715
130	1321	1705
131	1332	1695
132	1341	1684
133	1351	1674
134	1360	1662
135	1369	1651
136	1378	1639
137	1386	1627
138	1394	1614
139	1402	1603
140	1411	1591
141	1420	1580
142	1429	1569
143	1438	1558
144	1447	1547
145	1455	1535
146	1464	1524
147	1472	1511
148	1480	1500
149	1489	1489
150	1498	1478
151	1506	1467
152	1515	1455
153	1525	1446
154	1535	1436
155	1544	1425
156	1554	1415
157	1562	1404
158	1570	1393
159	1579	1382
160	1588	1371
161	1596	1360
162	1605	1349
163	1613	1337
164	1621	1326
165	1629	1315
166	1637	1303
167	1646	1293
168	1654	1282
169	1662	1270
170	1670	1260
171	1678	1249
172	1686	1237
173	1694	1226
174	1702	1215
175	1710	1205
176	1718	1194
177	1726	1183
178	1734	1172
179	1743	1162
180	1751	1151
181	1759	1140
182	1767	1130
183	1775	1119
184	1784	1109
185	1794	1099
186	1803	1089
187	1811	1079
188	1821	1069
189	1830	1059
190	1840	1050
191	1848	1040
192	1857	1029
193	1866	1019
194	1874	1009
195	1883	999
196	1891	988
197	1899	978
198	1908	968
199	1916	958
200	1924	948
201	1932	937
202	1940	927
203	1948	917
204	1956	906
205	1964	896
206	1973	886
207	1981	876
208	1989	866
209	1997	856
210	2005	846
211	2014	836
212	2022	826
213	2030	815
214	2039	806
215	2047	796
216	2055	786
217	2063	776
218	2072	766
219	2081	756
220	2089	746
221	2097	737
222	2106	727
223	2115	717
224	2123	707
225	2131	697
226	2139	688
227	2147	678
228	2155	668
229	2163	658
230	2171	648
231	2180	639
232	2187	629
233	2195	619
234	2204	609
235	2212	600
236	2220	590
237	2228	580
238	2238	571
239	2246	561
240	2255	552
241	2263	542
242	2271	532
243	2279	523
244	2286	513
245	2294	503
246	2302	494
247	2310	484
248	2319	475
249	2327	465
250	2335	455
251	2343	446
252	2351	436
253	2359	427
254	2367	417
255	2376	408
256	2384	398
257	2392	389
258	2399	379
259	2408	370
260	2417	361
261	2425	351
262	2433	342
263	2441	332
264	2450	323
265	2458	314
266	2466	304
267	2474	295
268	2482	286
269	2490	276
270	2498	267
271	2507	258
272	2517	249
273	2527	239
274	2537	230
275	2546	221
276	2554	212
277	2562	202
278	2570	193
279	2579	184
280	2588	174
281	2596	165
282	2605	156
283	2613	147
284	2621	137
285	2630	128
286	2638	119
287	2647	110
288	2655	101
289	2663	91
290	2671	82
291	2679	73
292	2688	64
293	2695	55
294	2704	45
295	2712	36
296	2721	27
297	2729	18
298	2737	9
299	2746	0
